ds,yhat,yhat_lower,yhat_upper
2024-01-01 01:00:00,0.5983889569014793,-1.713454577534046,3.119407049426528
2024-01-01 02:00:00,0.6307034701363188,-1.6865510837182487,2.9085186289585407
2024-01-01 03:00:00,0.8409717584292884,-1.638214660890406,3.2830746276427187
2024-01-01 04:00:00,1.1146211070053824,-1.2888333591765089,3.5537333630312515
2024-01-01 05:00:00,1.495875388667738,-0.8764802338158477,3.852575368115542
2024-01-01 06:00:00,2.119976295486091,-0.271403418907753,4.486380679454796
2024-01-01 07:00:00,3.027330243487534,0.7589815336591006,5.307577889799047
2024-01-01 08:00:00,4.026284345752,1.6586986563597497,6.339680778663866
2024-01-01 09:00:00,4.7513572423810055,2.3643784331460416,7.099313184958823
2024-01-01 10:00:00,4.901917752610272,2.5608500291407035,7.19201858268497
2024-01-01 11:00:00,4.4806815173227665,1.8057338141126982,6.808411034455039
2024-01-01 12:00:00,3.833394596906691,1.5594533104639974,6.1878091111232765
2024-01-01 13:00:00,3.4437805652200306,1.3182463302135614,5.792051596314595
2024-01-01 14:00:00,3.6314511374091523,1.2698321159530728,5.966767048545542
2024-01-01 15:00:00,4.369816134865915,2.2625277906956627,6.878684177381847
2024-01-01 16:00:00,5.3344111477148966,3.0837168114975366,7.72170643995868
2024-01-01 17:00:00,6.112260512630359,3.8103748324180122,8.36623742470018
2024-01-01 18:00:00,6.405484413395215,3.961579996972753,8.800332977723022
2024-01-01 19:00:00,6.1128291878884635,3.790139605149747,8.47926904777848
2024-01-01 20:00:00,5.298264311706509,2.996640766820648,7.724407261487454
2024-01-01 21:00:00,4.12992807732148,1.6029322635477246,6.3952763831487704
2024-01-01 22:00:00,2.8422163746802926,0.4559177525964508,5.397782186728712
2024-01-01 23:00:00,1.699955546180333,-0.5503126554423696,4.068608348073042
2024-01-02 00:00:00,0.9240611130155307,-1.317831741375131,3.2036949992856902
2024-01-02 01:00:00,0.5968616826932438,-1.6413661967100692,3.1000186054838026
2024-01-02 02:00:00,0.6275936436100573,-1.7218859228726762,2.9348584109682228
2024-01-02 03:00:00,0.8361452871989807,-1.4511205163119987,3.2861241507902617
2024-01-02 04:00:00,1.1080143560492304,-1.012034444761241,3.565063955085287
2024-01-02 05:00:00,1.4874977349258522,-0.9206847493585341,3.748822293252688
2024-01-02 06:00:00,2.1099114554749345,-0.21581743024865205,4.617102408536909
2024-01-02 07:00:00,3.0157363475987595,0.718825003589132,5.403564575628808
2024-01-02 08:00:00,4.013392750770985,1.6430952380692,6.36889305522294
2024-01-02 09:00:00,4.73747009032536,2.501909145133322,7.011831842983421
2024-01-02 10:00:00,4.88740430376727,2.615475253957887,7.4204993988442585
2024-01-02 11:00:00,4.465973300502833,2.1828556154989336,6.666033489184549
2024-01-02 12:00:00,3.8189794380823097,1.4643747390870152,6.201110200063098
2024-01-02 13:00:00,3.430195571515392,1.0891792816234205,5.854308849619108
2024-01-02 14:00:00,3.619274727900672,1.3024083788083824,6.055425208211506
2024-01-02 15:00:00,4.359659224649028,1.9349001193274864,6.615023498015395
2024-01-02 16:00:00,5.326907603004019,2.938327343181457,7.695440393953867
2024-01-02 17:00:00,6.108057006614574,3.8094087192431774,8.469421519425477
2024-01-02 18:00:00,6.405229821405362,3.914568296076089,8.71962975142277
2024-01-02 19:00:00,6.117163668107382,3.828693540239194,8.42932086150277
2024-01-02 20:00:00,5.307808223270457,3.020659239181561,7.5585442619880965
2024-01-02 21:00:00,4.145270891268583,1.5749478854818255,6.460699056802854
2024-01-02 22:00:00,2.863905734799003,0.5372554991442737,5.067698101922318
2024-01-02 23:00:00,1.7284866362967388,-0.5863534421157145,4.096149095768647
2024-01-03 00:00:00,0.9598664848588547,-1.408229389483121,3.1264948550503333
